0.000000 11.000000
0.040816 11.022199
0.081633 10.696900
0.122449 10.071301
0.163265 9.218868
0.204082 8.232090
0.244898 7.213401
0.285714 6.265170
0.326531 5.479794
0.367347 4.930867
0.408163 4.666332
0.448980 4.704275
0.489796 5.031761
0.530612 5.606811
0.571429 6.363266
0.612245 7.218018
0.653061 8.079837
0.693878 8.858863
0.734694 9.475788
0.775510 9.869772
0.816327 10.004316
0.857143 9.870491
0.897959 9.487249
0.938776 8.898820
0.979592 8.169528
1.020408 7.376597
1.061224 6.601758
1.102041 5.922566
1.142857 5.404344
1.183673 5.093619
1.224490 5.013731
1.265306 5.163048
1.306122 5.515955
1.346939 6.026456
1.387755 6.633979
1.428571 7.270701
1.469388 7.869582
1.510204 8.372216
1.551020 8.735602
1.591837 8.937119
1.632653 8.977128
1.673469 8.878936
1.714286 8.686105
1.755102 8.457421
1.795918 8.260066
1.836735 8.161759
1.877551 8.222724
1.918367 8.488404
1.959184 8.983711
2.000000 9.709505
